top_high5_result_id,contestant_id,contest_id,level,round_id,jurisdiction,rank,migrated,reason
250,997,25,continent,21,Africa,2,False,EXCLUDED_ZERO_MATCH
251,968,25,continent,21,Africa,3,False,EXCLUDED_ZERO_MATCH
259,1165,31,continent,21,Africa,1,False,EXCLUDED_ZERO_MATCH
260,1150,31,continent,21,Africa,2,False,EXCLUDED_ZERO_MATCH
261,1124,31,continent,21,Africa,3,False,EXCLUDED_ZERO_MATCH
268,1161,37,continent,21,Africa,1,False,EXCLUDED_ZERO_MATCH
269,1132,37,continent,21,Africa,2,False,EXCLUDED_ZERO_MATCH
271,986,37,continent,21,Africa,4,False,EXCLUDED_ZERO_MATCH
272,981,37,continent,21,Africa,5,False,EXCLUDED_ZERO_MATCH
273,1065,39,continent,21,Africa,1,False,EXCLUDED_OTHER_DEFECT_CLASS
274,637,78,continent,21,Africa,1,False,EXCLUDED_ZERO_MATCH
275,634,78,continent,21,Africa,2,False,EXCLUDED_ZERO_MATCH
286,823,177,continent,21,Africa,5,False,EXCLUDED_ZERO_MATCH
287,1158,179,continent,21,Africa,1,False,EXCLUDED_ZERO_MATCH
295,1077,188,continent,21,Africa,1,False,EXCLUDED_OTHER_DEFECT_CLASS
296,1016,188,continent,21,Africa,2,False,EXCLUDED_OTHER_DEFECT_CLASS
311,1140,45,continent,21,Africa,1,False,EXCLUDED_OTHER_DEFECT_CLASS
350,1211,80,continent,21,Africa,1,False,EXCLUDED_OTHER_DEFECT_CLASS
358,1206,86,continent,21,Africa,1,False,EXCLUDED_ZERO_MATCH
388,1136,121,continent,21,Africa,1,False,EXCLUDED_ZERO_MATCH
389,1135,121,continent,21,Africa,2,False,EXCLUDED_ZERO_MATCH
418,1115,175,continent,21,Africa,1,False,EXCLUDED_ZERO_MATCH
421,1208,190,continent,21,Africa,1,False,EXCLUDED_ZERO_MATCH
423,1207,192,continent,21,Africa,1,False,EXCLUDED_ZERO_MATCH
425,1209,196,continent,21,Africa,1,False,EXCLUDED_OTHER_DEFECT_CLASS
427,1222,213,continent,21,Africa,1,False,EXCLUDED_ZERO_MATCH
428,1119,213,continent,21,Africa,2,False,EXCLUDED_ZERO_MATCH
432,1221,215,continent,21,Africa,1,False,EXCLUDED_ZERO_MATCH
433,1118,215,continent,21,Africa,2,False,EXCLUDED_ZERO_MATCH
444,1235,228,continent,21,Africa,1,False,EXCLUDED_ZERO_MATCH
445,1189,228,continent,21,Africa,2,False,EXCLUDED_ZERO_MATCH
446,1184,228,continent,21,Africa,3,False,EXCLUDED_ZERO_MATCH
447,1166,23,continent,4,Africa,1,False,EXCLUDED_ZERO_MATCH
448,1154,23,continent,4,Africa,2,False,EXCLUDED_ZERO_MATCH
476,637,78,continent,4,Africa,2,False,EXCLUDED_ZERO_MATCH
477,634,78,continent,4,Africa,3,False,EXCLUDED_ZERO_MATCH
481,1206,86,continent,4,Africa,1,False,EXCLUDED_ZERO_MATCH
495,1136,121,continent,4,Africa,1,False,EXCLUDED_ZERO_MATCH
496,1135,121,continent,4,Africa,2,False,EXCLUDED_ZERO_MATCH
525,1115,175,continent,4,Africa,1,False,EXCLUDED_ZERO_MATCH
529,1158,179,continent,4,Africa,2,False,EXCLUDED_ZERO_MATCH
543,1208,190,continent,4,Africa,1,False,EXCLUDED_ZERO_MATCH
545,1207,192,continent,4,Africa,1,False,EXCLUDED_ZERO_MATCH
547,1235,228,continent,4,Africa,1,False,EXCLUDED_ZERO_MATCH
