top_high5_result_id,contestant_id,contest_id,level,round_id,jurisdiction,rank,score,total_votes,migrated,reason
1287,218,88,continent,3,Africa,1,0,0,False,AUTHORITATIVE_COHORT_RESULT
1288,222,90,continent,3,Africa,1,0,0,False,AUTHORITATIVE_COHORT_RESULT
1289,226,92,continent,3,Africa,1,0,0,False,AUTHORITATIVE_COHORT_RESULT
1290,230,94,continent,3,Africa,1,0,0,False,AUTHORITATIVE_COHORT_RESULT
1291,238,98,continent,3,Africa,1,0,0,False,AUTHORITATIVE_COHORT_RESULT
1292,242,100,continent,3,Africa,1,0,0,False,AUTHORITATIVE_COHORT_RESULT
1293,246,102,continent,3,Africa,1,0,0,False,AUTHORITATIVE_COHORT_RESULT
1294,248,103,continent,3,Africa,1,0,0,False,AUTHORITATIVE_COHORT_RESULT
1295,250,104,continent,3,Africa,1,0,0,False,AUTHORITATIVE_COHORT_RESULT
1296,254,106,continent,3,Africa,1,0,0,False,AUTHORITATIVE_COHORT_RESULT
1297,258,108,continent,3,Africa,1,0,0,False,AUTHORITATIVE_COHORT_RESULT
1298,262,110,continent,3,Africa,1,0,0,False,AUTHORITATIVE_COHORT_RESULT
1299,266,112,continent,3,Africa,1,0,0,False,AUTHORITATIVE_COHORT_RESULT
1300,270,114,continent,3,Africa,1,0,0,False,AUTHORITATIVE_COHORT_RESULT
1301,272,115,continent,3,Africa,1,0,0,False,AUTHORITATIVE_COHORT_RESULT
1302,276,117,continent,3,Africa,1,0,0,False,AUTHORITATIVE_COHORT_RESULT
1303,280,119,continent,3,Africa,1,0,0,False,AUTHORITATIVE_COHORT_RESULT
1304,284,121,continent,3,Africa,1,0,0,False,AUTHORITATIVE_COHORT_RESULT
1305,288,123,continent,3,Africa,1,0,0,False,AUTHORITATIVE_COHORT_RESULT
1306,292,125,continent,3,Africa,1,0,0,False,AUTHORITATIVE_COHORT_RESULT
1307,296,127,continent,3,Africa,1,0,0,True,AUTHORITATIVE_COHORT_RESULT
